date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:30:03	98/98	---M-Z	200	added ('OK')	text/plain	etag:%225fe3396-62-5fdb6110cf3db-gzip%22	https://codervent.com/robots.txt		(from )
19:30:05	104821/104821	---M-Z	200	added ('OK')	text/html	etag:%2244a3f-19975-619cb75f04500-gzip%22	https://codervent.com/maxton/demo/vertical-menu/	C:/My%20Web%20Sites/fitness%20dasboard/codervent.com/maxton/demo/vertical-menu/index.html	(from )
19:30:05	2026/2026	---M--	200	added ('OK')	image/png	etag:%2244a78-7ea-619c755fb9000%22	https://codervent.com/maxton/demo/vertical-menu/assets/images/favicon-32x32.png	C:/My%20Web%20Sites/fitness%20dasboard/codervent.com/maxton/demo/vertical-menu/assets/images/favicon-32x32.png	(from https://codervent.com/maxton/demo/vertical-menu/)
19:30:06	2351/2351	---M-Z	200	added ('OK')	text/css	etag:%2244a52-92f-619cba4311700-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/css/pace.min.css	C:/My%20Web%20Sites/fitness%20dasboard/codervent.com/maxton/demo/vertical-menu/assets/css/pace.min.css	(from https://codervent.com/maxton/demo/vertical-menu/)
19:30:06	12293/12293	---M-Z	200	added ('OK')	text/javascript	etag:%2244a56-3005-5ba7394341580-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/js/pace.min.js	C:/My%20Web%20Sites/fitness%20dasboard/codervent.com/maxton/demo/vertical-menu/assets/js/pace.min.js	(from https://codervent.com/maxton/demo/vertical-menu/)
19:30:07	1819/1819	---M-Z	200	added ('OK')	text/css	etag:%224fd28-71b-5ba73a2bf3a80-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	C:/My%20Web%20Sites/fitness%20dasboard/codervent.com/maxton/demo/vertical-menu/assets/plugins/perfect-scrollbar/css/perfect-scrollbar.css	(from https://codervent.com/maxton/demo/vertical-menu/)
19:30:07	1938/1938	---M-Z	200	added ('OK')	text/css	etag:%22471a9-792-5e2d6dd771180-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/plugins/metismenu/metisMenu.min.css	C:/My%20Web%20Sites/fitness%20dasboard/codervent.com/maxton/demo/vertical-menu/assets/plugins/metismenu/metisMenu.min.css	(from https://codervent.com/maxton/demo/vertical-menu/)
19:30:08	1000/1000	---M-Z	200	added ('OK')	text/css	etag:%2244b66-3e8-5e2d6f3a35680-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/plugins/metismenu/mm-vertical.css	C:/My%20Web%20Sites/fitness%20dasboard/codervent.com/maxton/demo/vertical-menu/assets/plugins/metismenu/mm-vertical.css	(from https://codervent.com/maxton/demo/vertical-menu/)
19:30:08	2964/2964	---M-Z	200	added ('OK')	text/css	etag:%224fd33-b94-5ba735a078180-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/plugins/simplebar/css/simplebar.css	C:/My%20Web%20Sites/fitness%20dasboard/codervent.com/maxton/demo/vertical-menu/assets/plugins/simplebar/css/simplebar.css	(from https://codervent.com/maxton/demo/vertical-menu/)
19:30:09	263122/263122	---M-Z	200	added ('OK')	text/css	etag:%2244a6a-403d2-619759875f800-gzip%22	https://codervent.com/maxton/demo/vertical-menu/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/fitness%20dasboard/codervent.com/maxton/demo/vertical-menu/assets/css/bootstrap.min.css	(from https://codervent.com/maxton/demo/vertical-menu/)
